Index,Term,Definition
9043,sinikretu,Secrecy.
9044,sinilo',Lose temper; fly off the handle; become extremely angry; pain--a worsening; sickness- a worsening; aggravated; make worse.
9045,sininbåtgo,No choice; face whatever consequence arises; no alternative; never mind.
9046,sinisa,Ash Wednesday; ash colored; gray.
9047,sinisa,Type of chicken--resembling gray Andalusian.
9048,sinisedi,Incident; occurrence; event; happening; phenomenon; something that occurs.
9049,sinisu,Shoot (of a plant); offshoot; scion; bud (of a plant).
9050,siniyi,Fill; put in; place in. 
9051,sinko,Five.
9052,sinkuenta,Fifty.
9053,sinkuenta I unu,Fifty-one.
9054,sino,Otherwise; else; or. (Primary stress is on the last syllable)
9055,sinonimu,Synonym.
9056,sinseramente,Sincerity; franckness; seriousness.
9057,sinseru,Sincere; unadulterated; serious; wholehearted; heartfelt; unfeigned.
9058,sinta,Edging; border.
9059,sintas,"Strip--wooden, such as in wood work."
9060,sintura,noun. waist; waistline; bodice.
9061,sinturon,Belt; strap. (Primary stress is on the last syllable)
9062,siobo',Even up; tie game; draw match; equal in contest; come out even. (Saipan)
9063,siogånai',No way; no method; too bad; can't be helped; nothing can be done about it. (Saipan) (Primary stress is on the first syllable)
9064,siok,"Stab; pierce. Also si'ok, sihok."
9065,sipåra,Separate; part; divide.
9066,sipårao,Separated; parted; separable; divided.
9067,sipåråsion,Separation.
9068,sipu,Corner; move it into a corner when fighting or chasing something.
9069,siråsime',Oil (for frying); salad oil; cooking oil. (Saipan) (Primary stress is on the 2nd syllable)
9070,sirek,Coitus; sexual intercourse--have. (Taboo)
9071,sirena,noun. 1) mermaid; a woman's body and a fish's tail--a fabled marine creature. 2) name of girl in Chamorro legend who was cursed by her mother to become a mermaid.
9072,sirenu,"noun. cold, damp air, especially at night."
9073,siriåles,Cereal.
9074,siruåna,Herb doctor; witch doctor (female). Also siruånu (male). Also suruhåna.
9075,siruånu,Herb doctor; witch doctor (male). Also siruåna (female). Also suruhånu.
9076,sis,Because. Alternate form of sa'.
9077,sisenta,Sixty.
9078,sisenta i unu,"adjective. sixty-one. (number)

noun. sixty-one. (number)"
9079,sisi,Rip; split; tear off; saw.
9080,sisi'ok,Type of fish--family holocentridae. Squirrel fish.
9081,sisitan,Aggravate (sore or wonds); to make worse a sore or wound.
9082,siso',See-saw; teeter-totter.
9083,sistema,Systema; arrangement; systematize; orderly; method.
9084,sita,Cite; summon; send for; serve with a writ.
9085,sitåra,Sitar; a musical instument from India.
9086,sitåsion,Citation; summons; official call or notice.
9087,sitbiente,Servant; person employed in domestic duties; person in the service of another. Also setbente.
9088,sitenta,The number seventy or 70. The product of 7 and 10. Ten less than eighty.
9089,sitenta I unu,Seventy-one.
9090,sitio,Site; place; lot (of land); location.
9091,sitkulu,Circle. (Primary stress is on the first syllable)
9092,sitron,Type of plant--citrus medica. Pomelo. 
9093,situåsion,Situation; circumstance; predicament; condition.
9094,siudå,City; metropolis; town. Also siudåt. (Primary stress is on the last syllable)
9095,siudådånu,Citizen; citizenship; resident of a state.
9096,siudåt,City; metropolis; town. Also siudå. (Primary stress is on the last syllable)
9097,siya,Seat; chair.
9098,siyan kåbåyu,Saddle.
9099,siyan måchukan,Rocking chair.
9100,siña,Can; be able; may; might; probable.
9101,siña buente,Maybe; possible; perhaps.
9102,siña ha',Maybe; perhaps; it's possible.
9103,siñåla,Mark; to mark a place such as where something is to be planted or attached.
9104,siñåt,Sign; mark; token; omen; symptom. (Primary stress is on the first syllable)
9105,skerosu,Fetish for cleanliness; afraid of being dirty or contaminated. Also åskerosu.
9106,skuiyi,"Type of brush--made from coconut husk, used for scrubbing or polishing."
9107,slait,Slide; sliding board.
9108,slungai,School (fish); whales--pod of; be in abundance. (Saipan) Also pupon.
9109,so'hon,"Staggering; stumbling; jerking; about to stop; about to fall; growling (of a dog); barking (of a dog)--when after a prey. Also sohon, so'on."
9110,so'on,"Staggering; stumbling; jaerking; about to stop; about to fall; growling (of a dog); barking (of a dog)--when after a prey. Also sohon, so'hon."
9111,so'so',Scrape--coconut meat from its shell; make copra; pry loose; scrape (with thrusting motion)--as scraping a pancake from the griddle.
9112,soberidai',"noun. slide; sliding board as found on playground. (Saipan) 

Also slait."
9113,sobre,Envelope.
9114,sodåliti,Sodality; religious organization for young women. (Primary stress is on the 3rd to last syllable)
9115,sodda',Find; come upon; gain the use of.
9116,sofå,Sofa; divan. (Primary stress is on the last syllabe)
9117,sogra,"Mother-in-law. Also suegra, sugra."
9118,sogro,"Father-in-law. Also suegro, sugro."
9119,sohgon,Drenched--from perspiration or rain; soaked.
9120,sohgue,Empty water out of something; bail; dip out. Also so'gue.
9121,sohmok,Squeeze in tightly (into a hole); cram tightly (into a hole); shove (into a hole); pack (into a hole); stuff (in a hole).
9122,sohon,"Staggering; stumbling; jerking; about to stop; about to fall; growling (of a dog); barking (of a dog)--when after a prey. Also so'hon, so'on."
9123,sohyo',Influence; convince; invite; persuade. Also soyok.
9124,sokka,Hold down; pin against; clamp.
9125,sokkai,Snag (cloth); rip--by being caught on something; tear off--by being caught on something.
9126,sokkok,To elbow; nudge; jog; jostle; jolt; poke (with the elbow); kick (with the knee); thrust.
9127,sokkos,Dirty.
9128,sokkos,Breech birth.
9129,sokne,Accuse; charge (someone) with; suspect.
9130,soksok,noun. Tuberculosis or TB; consumption.
9131,solamente,Except; provided that; unless; only; alone.
9132,solemne,Solemn; formal; serious; somber.
9133,solisita,Solicit; ask; invite; request; plea; try to obtain by asking for.
9134,solu,Alone; unless; only.
9135,sombra,noun. Shade--of a tree; shade from the sun.
9136,somnak,"adjective. sunny; full of sunshine.
noun. sunshine; sunlight; ray (from the sun)."
9137,son,Tone; music; song; chant.
9138,songge,Burn; lighted; set on fire; ignite.
9139,songgiyon,Inflammable; combustible.
9140,songsong,verb. to plug up; to close up (hole); to stop a flow.
9141,songsong,noun. stopper; plug; any tool or device used in stopping a flow (usually water or air).
9142,songsong,noun. town; village.
9143,Songsong,noun. Name of principal village on Rota.
9144,sopas,Mixing (of liquid with solid).
9145,sopas,Mixture (of liquid and solid); soup.
9146,sopbla,Remains; left over; remainder.
9147,soppla,"Sock in (as in smoking); suck--as through a straw; suck noodles, soup, or other liquid."
9148,sopplo,Remainder; leftover; taking opponent's checkers because he did not make a jump during his turn.
9149,sorohu,Sliding bar to lock door.
9150,sosiåt,Social. (Primary stress is on the last syllable)
9151,sosomyan,"Swamp; marsh; bog. Also sosonyan, sesonyan."
9152,sosongte,Tired; bored; fed up with. (Rota)
9153,sosse,Mend. Also sotse.
9154,sota,Jack (cards).
9155,sotådot,One who holds the fighting cock during sikåt. (Primary stress is on the last syllable)
9156,sotda,"Weld; unite metallic parts by heating, hammering, or compressing; solder."
9157,sotdådura,Welding equipment.
9158,sotfa,Note (music); tune; melody; written notes of music.
9159,sotgan,Proliferation; prolific. (Rota)
9160,sotne,"Cook (by boiling); to boil, usually refers to starchy food."
9161,sotse,Mend; sew; stitch; darn.
9162,sotsot,Contrite; repentant.
9163,sotta,Release; set free; make free; let go.
9164,sottera,Bachelorette; single woman; puberty.
9165,sotterita,Teen-ager (female). Also sotteritu (male).
9166,sotteritu,Teen-ager (male). Also sotterita (female).
9167,sotteru,Bachelor; single man.
9168,sotttåyi,Slacken for; boosen; enervate; release for.
9169,soyok,Influence; convince; invite; persuade. Also sohyo'.
9170,ssiguridåt,Assurance; insurance; security; safety; certitude; certainty; confidence; self-reliance. (Primary stress is on the last syllable)
9171,su'åbi,Suave; sophisticated; curteous; refined; urbane; cultured (person).
9172,su'ånu,Calm; even tempered; cool-headed.
9173,su'ok,Persuade; induce; prevail upon; lure.
9174,su'on,Push; shove; thrust; propel; encourage; raise the spirit of.
9175,su'on,Build up fire by adding new wood.
9176,subes,In fact; even though;.
9177,subetbia,Brave; courage; stubborn; daring (female). Also subetbiu (male).
9178,subetbiu,Brave; courageous; haughty; daring (male). Also subetbia (female).
9179,subi,Raise in salary; upgrade in rank; promote in rank. Also subre.
9180,subida,Promotion; advancement in position; increase. Also subidu.
9181,subida,Receding of wave.
9182,subida,Approach; draw near.
9183,subre,Pay raise; rank promotion. Also subi.
9184,subrekåma,Bed sheet; quilt; bedspread.
9185,subrekåtgo,Supercargo; cargo chief; caretaker; custodian; one who is in charge of cargo.
9186,subrenaturåt,Unnatural; supernatural. (Primary stress is on the last syllable)
9187,subres,An expletive calling attention to a negative or unfortunate situation.
9188,subrina,Niece.
9189,subrinu,Nephew.
9190,suegro,"Father-in-law. Also sogro, sugro."
9191,suekos,"Wooden Japanese slipper, resembling geta'."
9192,suelas,Shoe sole.
9193,suena,"Popular; become popular by name, character, or work that one performs."
9194,suena,Audible; easily perceived noise when everything else is quiet.
9195,suetdo,Wage; salary; stipend; fee; recompense for service rendered.
9196,suette,Lucky; luck; good fortune.
9197,suetto,Free; unbound.
9198,sufa',Rush at; charge at--with head lowered; grovel; root--as a pig.
9199,sufan,Pare; peel; cut away by slicing the peeling.
9200,sufisiente,Sufficient; enough; adequate; competent.
9201,sufoka,Suffocate.
9202,sugat,Hard; solid; firm; tough.
9203,sugo',Stop by; stop for a while; moment; a few minutes. Visit briefly; drop in on.
9204,sugon,Steer; guide; drive.
9205,sugon,Drive away; chase away.
9206,suha,Move away; scram; step aside; get away; get off.
9207,suhåyi,Avoid; dodge; evade; keep out of the way; keep away from; keep clear of.
9208,suheta,Subdue; control; subjugate; overpower; cool off (anger).
9209,suhetu,Subject; theme.
9210,suhu,Dip water (with container).
9211,suhu,Water container.
9212,Suitas,Jesuit; religious order of Jesuits. Also Hesuitas.
9213,sukåto',"noun. skirt (clothing) (Saipan) 

Also lupes."
9214,suki,Venereal (disease); syphilis; gonorrhea; lymphogranuloma.
9215,sukori,Succor; help; assist; aid. (Guam) Also sukoru.
9216,sukoru,Succor; help; assist; aid. Also sukori.
9217,sukos,Snout; mouth.
9218,sukos babui,Mouth--of a pig; snout--of a pig.
9219,suleras,"Joist; beam; stud; scantling--any of small timbers ranged parellelwise from wall to wall, to support the floor, or to support the laths or furring strips of a ceiling."
9220,sulitårio,Type of card game.
9221,sulo',Type of fishing; torch-fishing; hunting (with light); fishing or hunting with a lighted torch or flashlight.
9222,sulon,Slip; slide.
9223,suma,Add; combining together; sum.
9224,suma,Figure out--in arithmetic; make arithmetic calculations.
9225,sumågågåyi,Occupant; one who occupies a place. (Primary stress is on the 3rd to last syllable)
9226,sumai,Soak; saturate; drench; impregnate with liquid.
9227,sumai,Expression used in tres siette telling the dealer to give each plater ten cards straight when four people are playing.
9228,sumak,"Type of plant--tarenna sambucina, randia cohinchinensis. A type of grass."
9229,sumak lådda,Type of plant--tarenna sambucina or timonius nitidus. A type of tree.
9230,suman,"noun. Type of food--made from rice and coconut milk. After rice is cooked in coconut milk, it is wrapped in banana leaf and steamed. Usually served as a dessert."
9231,sumåria,Summary.
9232,sumåt,Addition--in arithmetic. (Primary stress is on the last syllable)
9233,sume',Leak; leakage.
9234,sumen,Extremely; very; greatly; intensifying word.
9235,sumigen,Go by way of. Also umesgen.
9236,sumisiha,Simultaneous; together. (Primary stress is on the 3rd to last syllable)
9237,Sumongsong,November. Also Nobiembre.
9238,sumugo',Conceive (child).
9239,suncho,Hoop; metal band on cask or barrel.
9240,sunen agaga',Type of taro--reddish in color. Grows on dry or swampy land.
9241,sunen Hapon,Type of taro--introduced by the Japanese. (Primary stress of Hapon is on the last syllable)
9242,sunen Honolulu,Type of plant--xanthosoma violacea. Taro.
9243,sunen sisonyan,Type of taro--grows in swampy area.
9244,sungon,Tolerate; endure; sustain; bear; tolerate with patience; withstand; last; strong enough.
9245,sungon ha',Accept something; face the fact.
9246,suni,Type of plant--colocasia esculenta. Taro (generic).
9247,sunidu,Audible; sound which can be heard.
9248,supechadot,Suspicious person (male). (Primary stress is on the last syllable)
9249,supi,Foul ball; chipped ball; indirect hit; glance off.
9250,supiriot,Superior; superior being; sovereign; Mother Superior. (Primary stress is on the last syllable)
9251,supiriot,Deluxe. (Primary stress is on the last syllable)
9252,supiyu,noun. plane (carpenter's tool); paring tool.
9253,suplenta,Supplant.
9254,suplika,Supply; furnish with what is lacking; provide with what is requisite. (Rota)
9255,suplika,Supplicate; entreat.
9256,supmårinu,Submarine.
9257,supok,"Submerge; immerse; sink; plunge into anything that surround or covers, especially into a fluid."
9258,suponi,Suppose; assume.
9259,supotta,Support--financial or legal.
9260,suron,Sack--of dried cattle hides used for carrying beef. Hide of cattle made into a sack. (Primary stress is on the last syllable)
